Description,HSN Code,Qty,Unit Price,Discount (%),Tax Rate (%)
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
Wi-Fi Router,85176290,1,2699,0,18
